UserName,FullName,Date,First Hashtags,Alt Hashtags,Tweet (Message Text),Retweets,Retweets (w/ Text),Likes,Likes (w/ Text),URL Path
@PM_MrImranKhan @PM_MrImranKhan @PM_MrImranKhan @PM_MrImranKhan @PM_MrImranKhan,Amna Khan  💚 ❤‏ @PM_MrImranKhan,7h7 hours ago,"#عورت_کو_عزت_دو,RespectWomen,PTIForWomenEmpowerment",#RespectWomen,"#عورت_کو_عزت_دو 
Retweet with this hashtag  and make those filthy people apologize with our respectful women workers. #RespectWomen  #PTIForWomenEmpowerment 
@InsafPK",,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    
  
  
    
      
      
      Liked",/PM_MrImranKhan/status/991328307714183173
@saleemakhan13 @saleemakhan13 @saleemakhan13 @saleemakhan13 @saleemakhan13 @CMShehbaz,Saleem Ahmed Khan‏ @saleemakhan13,7h7 hours ago,,,Hats off to u and ur remarkable and encouraging views about women...others should b inspired !!!,1 1,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    1
  
  
    
      
      
      Liked
    
      
    1",/saleemakhan13/status/991328030629998592
@alifaisal24 @alifaisal24 @alifaisal24 @alifaisal24 @alifaisal24,Ali Faisal‏ @alifaisal24,8h8 hours ago,,,"@KhawajaMAsif @PmlnMedia @fawadchaudhry 
On this Labor day plz dont forget to honor our *Former PM* and *Foreign Minister* who worked as *Skilled Labor* in UAE",1 1,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    1
  
  
    
      
      
      Liked
    
      
    1",/alifaisal24/status/991313877110591488
@HARAL786 @HARAL786 @HARAL786 @HARAL786 @HARAL786,Pak & Army ZINDABAD!‏ @HARAL786,10h10 hours ago,,,Women should not vote the party of Rana Sanaullah PML N ..Vote to any other party which respects u as women @MaryamNSharif @CMShehbaz @iqrarulhassan @Shahidmasooddr @arsched @ARYSabirShakir @arifhameed15,,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    
  
  
    
      
      
      Liked",/HARAL786/status/991288597549592577
@HARAL786 @HARAL786 @HARAL786 @HARAL786 @HARAL786,Pak & Army ZINDABAD!‏ @HARAL786,10h10 hours ago,,,Maryam Nawaz Sharif should take notice and suspend Sanaullah for bad language for women of Pakistan! @MaryamNSharif @CMShehbaz @OfficialDGISPR @Shahidmasooddr @arifhameed15 @arsched @iqrarulhassan @mubasherlucman @JavedChaudhry_ @NadeemAfzalChan,,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    
  
  
    
      
      
      Liked",/HARAL786/status/991287093900070913
@mrseoranker @mrseoranker @mrseoranker @mrseoranker @mrseoranker,Mrseoranker‏ @mrseoranker,13h13 hours ago,"#MayMorning,May1st,LabourDay,LaborDay2018,laborday",#May1st,"#MayMorning  #May1st #LabourDay  
To all hard working men and women.
     Happy Labors Day 
#LaborDay2018 #laborday  
Feel free to Contact us  
 0321 - 8879 753 
 info@Mrseoranker.com
 http://mrseoranker.com/  pic.twitter.com/mF7Fzuc51o",1 1,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    1
  
  
    
      
      
      Liked
    
      
    1",/mrseoranker/status/991241720963780608
@DawarAllama @DawarAllama @DawarAllama @DawarAllama @DawarAllama,Allama iqbal Dawar‏ @DawarAllama,Apr 30,"#WomenmysisterWomenmyMother,RanaSanaullah,PTIMinarePakistanJalsa",#RanaSanaullah,"Strongly Condemn the disgraceful  words used by Rana Sanaullah for Women.
 Therefore we want to kick them. We believe in women empowerment, part of 11 point agenda of PTI. #WomenmysisterWomenmyMother
#RanaSanaullah
#PTIMinarePakistanJalsa pic.twitter.com/uGLXVjYm0j",3 3 5 5,"Retweet
    
      
    3
  
  
    
      
      Retweeted
    
      
    3",,"Like
    
      
    5
  
  
    
      
      
      Liked
    
      
    5",/DawarAllama/status/990989430990299138
@SohaTazz @SohaTazz @SohaTazz @SohaTazz @SohaTazz @uzair_rehman28,soha‏ @SohaTazz Uzair Rehman @uzair_rehman28,Apr 30,,,"In the very moments when Imran Khan included women empowerment in his 11 points. 
Appalled by the statements made by PMLN representatives seeing how Maryam Nawaz, a woman, is now the face of the party. https://twitter.com/uzair_rehman28/status/990978008637992960 … Abid Sher Ali and Rana Sana Ullah showcasing the real face of PMLN.",1 6 6 9 9,"Retweet
    
      
    6
  
  
    
      
      Retweeted
    
      
    6",,"Like
    
      
    9
  
  
    
      
      
      Liked
    
      
    9",/SohaTazz/status/990979666570895361
@MonaAlamm @MonaAlamm @MonaAlamm @MonaAlamm @MonaAlamm,Mona Alam‏ @MonaAlamm,Apr 30,"#women,PTIMinarePakistanJalsa,votes,respect",#PTIMinarePakistanJalsa,"Outrageous & condescending statement by Rana Sanaullah about #women among general public in #PTIMinarePakistanJalsa 
If those women were any potential voters for him then he has lost their #votes & #respect forever. It's like digging one's own grave! pic.twitter.com/OvJDileKXn",18 8 8 45 45,"Retweet
    
      
    8
  
  
    
      
      Retweeted
    
      
    8",,"Like
    
      
    45
  
  
    
      
      
      Liked
    
      
    45",/MonaAlamm/status/990954131320987649
@awaisrana2011 @awaisrana2011 @awaisrana2011 @awaisrana2011 @awaisrana2011,Owais Rana‏ @awaisrana2011,Apr 30,"#PTIMinarePakistanJalsa,دو_نہیں_ایک_پاکستان",#دو_نہیں_ایک_پاکستان,"Imran Khan Eleven Point Agenda April 29 in Lahore:
1. Education
2. Healthcare
3. Tax Reform
4. Corruption Control
5. Economy
6. Employment
7. Tourism
8. Agriculture
9. Federation & Provincial Reform
10. Justice
11. Women Empowerment
#PTIMinarePakistanJalsa
#دو_نہیں_ایک_پاکستان",1 1 5 5,"Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",,"Like
    
      
    5
  
  
    
      
      
      Liked
    
      
    5",/awaisrana2011/status/990926690028310528
@FarihaMunirShah @FarihaMunirShah @FarihaMunirShah @FarihaMunirShah @FarihaMunirShah,Fariha Munir‏ @FarihaMunirShah,Apr 29,,,"Don't keep collecting properties & assests for children. So that u miss the fun of your life & they're raised unable to have fun. Instead, give them a good, fun-filled life. Teach them how to stay happy & they'll find a way to stay that way.",3 2 2 23 23,"Retweet
    
      
    2
  
  
    
      
      Retweeted
    
      
    2",,"Like
    
      
    23
  
  
    
      
      
      Liked
    
      
    23",/FarihaMunirShah/status/990496530783260672
@asmahbarjees @asmahbarjees @asmahbarjees @asmahbarjees @asmahbarjees @ShireenMazari1,Asma Barjees‏ @asmahbarjees Shireen Mazari @ShireenMazari1,Apr 28,,,Nobody ever wanted to attack you ever you yourself bump into people and wanted yourself to be attacked every time there is a minute issue. Just because you shout well doesn’t mean you are representing true women rights. Your kind of attitude is highly condemnable. https://twitter.com/shireenmazari1/status/989918043022209024 … Murad was perfectly correct because PMLN's Abid Sher Aliand a few others encircled me and almost attacked me physically so Murad came to my aid and Abid Sher Ali hurled some filthy abuses at him as well as threatening to hit him! https://twitter.com/ImaanZHazir/status/989865949485559808 …,1 8 8 23 23,"Retweet
    
      
    8
  
  
    
      
      Retweeted
    
      
    8",,"Like
    
      
    23
  
  
    
      
      
      Liked
    
      
    23",/asmahbarjees/status/990457504932007936
@The_Raza_Malik @The_Raza_Malik @The_Raza_Malik @The_Raza_Malik @The_Raza_Malik @TehminaDurrani @MoeedNj,Raza‏ @The_Raza_Malik,Apr 27,,,"There are even more elevated personalities vis_a_vis charity. I consider IK is even heads and shoulders taller than the great Edhi in this context. But Fatima Jinnah deserve this honour, for shouldering Quaid-i-Azam in creation of Pakistan in which Rwp airport is located",1 2 2 3 3,"Retweet
    
      
    2
  
  
    
      
      Retweeted
    
      
    2",,"Like
    
      
    3
  
  
    
      
      
      Liked
    
      
    3",/The_Raza_Malik/status/990047945218252800
@its_shahji @its_shahji @its_shahji @its_shahji @its_shahji,S H A H   J I‏ @its_shahji,Apr 26,,,"Communist until you get rich 
Feminist until you get married 
                         &
Atheist until the airplane starts falling",1 1 9 9,"Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",,"Like
    
      
    9
  
  
    
      
      
      Liked
    
      
    9",/its_shahji/status/989624013856165888
@Hopeofsuffering @Hopeofsuffering @Hopeofsuffering @Hopeofsuffering @Hopeofsuffering,Hope Ministries‏ @Hopeofsuffering,Apr 25,,,"Each gift to Hope Ministries is gratefully received, promptly receipted, and prayerfully used.
Children are needed offering for their school tuition, books, uniform and food. Your prayerful donations will send the story of God's love in word and deed to the ends of the earth. pic.twitter.com/G9geFENuBO",1 1 5 5,"Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",,"Like
    
      
    5
  
  
    
      
      
      Liked
    
      
    5",/Hopeofsuffering/status/989350450154606592
@MonaAlamm @MonaAlamm @MonaAlamm @MonaAlamm @MonaAlamm,Mona Alam‏ @MonaAlamm,Apr 25,#Pakistani,,"Madeeha Gauhar (1956 - 2018) was a #Pakistani actress, playwright and director of social theater, women's rights activist and founder of Ajoka Theater. She lost her fight against cancer today morning. May her soul rest in peace. pic.twitter.com/d0IWVEHNvV",6 10 10 66 66,"Retweet
    
      
    10
  
  
    
      
      Retweeted
    
      
    10",,"Like
    
      
    66
  
  
    
      
      
      Liked
    
      
    66",/MonaAlamm/status/989099781552267264
@bamalik123 @bamalik123 @bamalik123 @bamalik123 @bamalik123 @FarhanKVirk,B A Malik‏ @bamalik123,4h4 hours ago,#Maryam,,#Maryam Nawaz is interested in respect for vote  and no regard for women.,,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    
  
  
    
      
      
      Liked",/bamalik123/status/991370121116610561
@The_Raza_Malik @The_Raza_Malik @The_Raza_Malik @The_Raza_Malik @The_Raza_Malik @arypowerplay @arsched,Raza‏ @The_Raza_Malik,13h13 hours ago,,,Please add child abuse in Punjab to their credit; an other landmark with no parallel in the history of mankind,,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    
  
  
    
      
      
      Liked",/The_Raza_Malik/status/991239805580132352
@JAVEDCHOWDHURY6 @JAVEDCHOWDHURY6 @JAVEDCHOWDHURY6 @JAVEDCHOWDHURY6 @JAVEDCHOWDHURY6 @AVarseyPTI,JAVED CHOWDHURY‏ @JAVEDCHOWDHURY6,14h14 hours ago,,,"They want 2 stop our Women coming 2 Jalsas, but it is not possible..
In Shaa Allah..",,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    
  
  
    
      
      
      Liked",/JAVEDCHOWDHURY6/status/991232475530694657
@yousha_alee @yousha_alee @yousha_alee @yousha_alee @yousha_alee,Yousha Alee 🇵🇰‏ @yousha_alee,14h14 hours ago,"#Labour,Best,Labour",#Best,"#Labour Day is a  reminder that We must Respect,Honor and Celebrate the Hardwork of all those who Work Day and Night for the Development of our Country
#Best wishes to All of them who Work Hard
Happy #Labour Day",1 1 1 1,"Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",,"Like
    
      
    1
  
  
    
      
      
      Liked
    
      
    1",/yousha_alee/status/991226407668867072
@PervezSultan1 @PervezSultan1 @PervezSultan1 @PervezSultan1 @PervezSultan1 @mehreen_sabtain @MaryamNSharif,Pervez Sultan‏ @PervezSultan1,14h14 hours ago,,,"Unless shameless @MariamNSharif speaks , no other women dare do it.",1 1,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    1
  
  
    
      
      
      Liked
    
      
    1",/PervezSultan1/status/991225860110929920
@iamRealIsrar @iamRealIsrar @iamRealIsrar @iamRealIsrar @iamRealIsrar @SecInfoPAT @AtiqRehmanPAT,M Israr  💕 💞 💓 💗 💖 💘 💝‏ @iamRealIsrar,15h15 hours ago,,,He is speaking from earlier age in student life for a poor child. He is a true leader of Muslim Ummah and Pakistani  people,,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    
  
  
    
      
      
      Liked",/iamRealIsrar/status/991211604875317248
@hasnain_sha @hasnain_sha @hasnain_sha @hasnain_sha @hasnain_sha,Syed Hasnain ali‏ @hasnain_sha,18h18 hours ago,#LabourDay,,All hard working men and women are the corner stone of any country's success. #LabourDay,,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    
  
  
    
      
      
      Liked",/hasnain_sha/status/991162597910212608
@TanveerCh020 @TanveerCh020 @TanveerCh020 @TanveerCh020 @TanveerCh020,Tanveer Ch‏ @TanveerCh020,20h20 hours ago,,,people who are talking about HONOR for vote plz first develop a temperament for the honor & respect for women.,,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    
  
  
    
      
      
      Liked",/TanveerCh020/status/991127957832982528
@royalpeep @royalpeep @royalpeep @royalpeep @royalpeep,💔‏ @royalpeep,Apr 30,,,"Wallah I’m not gonna make my children’s life as I’m spending it, like hell bored, I will have some games in my house and weekly tour nearest part where I will live.",1   14 14,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    14
  
  
    
      
      
      Liked
    
      
    14",/royalpeep/status/991010875741016064
@ark_2014 @ark_2014 @ark_2014 @ark_2014 @ark_2014 @PmlChohan,abdulrasheedkhan‏ @ark_2014,Apr 29,,,Women who can't perform hajj without mahram are allowed to dance in IK variety show,1 1 2 2,"Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",,"Like
    
      
    2
  
  
    
      
      
      Liked
    
      
    2",/ark_2014/status/990654679599206402
@mubarak74 @mubarak74 @mubarak74 @mubarak74 @mubarak74,Mubarak Ali‏ @mubarak74,Apr 28,,,Moral police of Islamic republic yet again strike on innocent boys & girls enjoying party last night in Barakahu Islamabad. Dancing & partying in Pakistan is as bigger a crimes as rape & murder pic.twitter.com/mWOV8eyvP6,4 1 1 5 5,"Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",,"Like
    
      
    5
  
  
    
      
      
      Liked
    
      
    5",/mubarak74/status/990154628657565696
@AsadKharal @AsadKharal @AsadKharal @AsadKharal @AsadKharal,Asad Kharal‏Verified account @AsadKharal,Apr 26,,,"having the hands in gloves with INTERNATIONAL CHILD PORNOGRAPHERS nexus namely Jan Lindstrom, Sweden, Giovani Betotti, Italy, Max Hunter, USA, Andrew Moody, UK and Mukhtar from UK. The complete trial was carried out.
4) Today on 26.4.2018 the court of special judge for cyber 3/4",1 17 17 30 30,"Retweet
    
      
    17
  
  
    
      
      Retweeted
    
      
    17",,"Like
    
      
    30
  
  
    
      
      
      Liked
    
      
    30",/AsadKharal/status/989581904650235904
@AsadKharal @AsadKharal @AsadKharal @AsadKharal @AsadKharal,Asad Kharal‏Verified account @AsadKharal,Apr 26,,,"on 11.04.2017 and a case FIRNo.34/17 was lodged. He was involved in Child pornography. More than 650000 pics and videos related to child pornography were recovered from the seized digital media from his possession. 
3) During investigation, it revealed that Sadat Amin was 2/4",2 13 13 22 22,"Retweet
    
      
    13
  
  
    
      
      Retweeted
    
      
    13",,"Like
    
      
    22
  
  
    
      
      
      Liked
    
      
    22",/AsadKharal/status/989581350695940096
@maherakash @maherakash @maherakash @maherakash @maherakash,Mehar Akash Ali‏ @maherakash,Apr 24,#TogetherFor10Million,,"#TogetherFor10Million 
Educating one million out of school children. pic.twitter.com/idcVciQLJi",12 12 1 1,"Retweet
    
      
    12
  
  
    
      
      Retweeted
    
      
    12",,"Like
    
      
    1
  
  
    
      
      
      Liked
    
      
    1",/maherakash/status/989025085787987968
@RehmanA47947725 @RehmanA47947725 @RehmanA47947725 @RehmanA47947725 @RehmanA47947725,Rehman Ali‏ @RehmanA47947725,Apr 24,,,"I want to file a charge against low battery notification....
It's harass me very badly....",2 2 3 3,"Retweet
    
      
    2
  
  
    
      
      Retweeted
    
      
    2",,"Like
    
      
    3
  
  
    
      
      
      Liked
    
      
    3",/RehmanA47947725/status/988779157302710272
@AlkhidmatOrg @AlkhidmatOrg @AlkhidmatOrg @AlkhidmatOrg @AlkhidmatOrg,Alkhidmat Foundation‏Verified account @AlkhidmatOrg,Apr 24,"#Aghosh,Alkhidmat,Rawalpindi,Islamabad,Turkish,Embassy,Islamabad,won",#Alkhidmat,"Al-Khidmat Foundation Pakistan [Official]
Published by Yasir Hafeez · 14 mins · 
Children from #Aghosh #Alkhidmat #Rawalpindi and #Islamabad participated in a Children's event arranged by #Turkish #Embassy in #Islamabad. They #won many prizes. pic.twitter.com/ONV52ecAad",17 17 22 22,"Retweet
    
      
    17
  
  
    
      
      Retweeted
    
      
    17",,"Like
    
      
    22
  
  
    
      
      
      Liked
    
      
    22",/AlkhidmatOrg/status/988761969481175040
@ShafiqueWaqas @ShafiqueWaqas @ShafiqueWaqas @ShafiqueWaqas @ShafiqueWaqas,Waqas Shafique‏ @ShafiqueWaqas,Apr 24,"#TVCHANNEL,PTVNEWS,MicrosoftEdu",#PTVNEWS,Indeed honour to give interview to Pakistan national #TVCHANNEL #PTVNEWS where i discussed the possibilities how educators could get benefit from #MicrosoftEdu programs. pic.twitter.com/iSn9Cd3pHv,3 3 3 4 4,"Retweet
    
      
    3
  
  
    
      
      Retweeted
    
      
    3",,"Like
    
      
    4
  
  
    
      
      
      Liked
    
      
    4",/ShafiqueWaqas/status/988724104495878144
@AlkhidmatOrg @AlkhidmatOrg @AlkhidmatOrg @AlkhidmatOrg @AlkhidmatOrg,Alkhidmat Foundation‏Verified account @AlkhidmatOrg,Apr 23,"#Alkhidmat,Foundation,Women,Wing,Pakistan,Bahawalpur,Multan,Bahawalpur,DG,Rahimyar,Layyah",#Foundation,"#Alkhidmat #Foundation #Women #Wing #Pakistan arranged a workshop on RMD""Orphan Budget Social Media"" for members and volunteers in #Bahawalpur. 40 members attended the workshop from districts of #Multan , #Bahawalpur, #DG Khan, #Rahimyar Khan and #Layyah . pic.twitter.com/bPMvdLXVry",9 9 10 10,"Retweet
    
      
    9
  
  
    
      
      Retweeted
    
      
    9",,"Like
    
      
    10
  
  
    
      
      
      Liked
    
      
    10",/AlkhidmatOrg/status/988650143518986240
@bkhanz181 @bkhanz181 @bkhanz181 @bkhanz181 @bkhanz181,Bushra khan‏ @bkhanz181,Apr 23,,,Harassment overloaded  pic.twitter.com/RGkld18kpw,2 6 6 15 15,"Retweet
    
      
    6
  
  
    
      
      Retweeted
    
      
    6",,"Like
    
      
    15
  
  
    
      
      
      Liked
    
      
    15",/bkhanz181/status/988378041058562048
@MansurQr @MansurQr @MansurQr @MansurQr @MansurQr,Mansoor Ahmed Qureshi‏ @MansurQr,Apr 21,"#Hassan_Abdal,Punjab,Pakistan",#Punjab,"Postgraduate College for Women #Hassan_Abdal is in final Stage of Completion.
#Punjab #Pakistan pic.twitter.com/Fr7cyJoHEZ",3 60 60 163 163,"Retweet
    
      
    60
  
  
    
      
      Retweeted
    
      
    60",,"Like
    
      
    163
  
  
    
      
      
      Liked
    
      
    163",/MansurQr/status/987799692581982208
@Usmani81 @Usmani81 @Usmani81 @Usmani81 @Usmani81 @hinaparvezbutt,Umair Usmani‏ @Usmani81,14h14 hours ago,,,"You forgot to add 6th... Humiliated, mocked & abused Women...",,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    
  
  
    
      
      
      Liked",/Usmani81/status/991229151108587520
@DrMicrowaves @DrMicrowaves @DrMicrowaves @DrMicrowaves @DrMicrowaves @AmberRShamsi @siasatpk @AbidSherAli,Abdul‏ @DrMicrowaves,16h16 hours ago,,,"If women of PMLN chastise these gutters, they will not be given reserved seats for women the next time. These women know this @hinaparvezbutt @MaizaHameed",,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    
  
  
    
      
      
      Liked",/DrMicrowaves/status/991200787366842369
@KhawajaTayyab4 @KhawajaTayyab4 @KhawajaTayyab4 @KhawajaTayyab4 @KhawajaTayyab4,Khawaja Tayyab‏ @KhawajaTayyab4,16h16 hours ago,,,I SALUTE ALL THE LABOUR MEN WOMEN OF THE WORLD HAPPY LABOUR DAY YOU ARE THE BEST HUMANS,,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    
  
  
    
      
      
      Liked",/KhawajaTayyab4/status/991192792356605952
@ninifaisal2 @ninifaisal2 @ninifaisal2 @ninifaisal2 @ninifaisal2 @anniesehar1 @fawadchaudhry,nini faisal‏ @ninifaisal2,16h16 hours ago,,,He seems to belong to a third class family !! No disrespect should be shown to any kind of women !! You never know what circumstances they had !!! Isn’t he the same Perrin who was praising her own daughters dance on tv !!????,,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    
  
  
    
      
      
      Liked",/ninifaisal2/status/991192416655953921
@906Devil @906Devil @906Devil @906Devil @906Devil,Asad Ahmad Chouhan‏ @906Devil,16h16 hours ago,"#May1st,LabourDay",#LabourDay,"We salute all men and women who make the wheels of the world go round today. From Karachi to Chicago, #May1st is the day we all bow our heads to pay tribute to #LabourDay. “One machine can do the work of fifty ordinary men. No machine can do the work of one extraordinary man. pic.twitter.com/RPMECxWLrK",,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    
  
  
    
      
      
      Liked",/906Devil/status/991187481163952128
@MianHar22261255 @MianHar22261255 @MianHar22261255 @MianHar22261255 @MianHar22261255 @SyedaShehlaRaza,Mian Haris‏ @MianHar22261255,17h17 hours ago,,,"Which means you are going to create another world of women and restricted only to women in your opinion and you want women to did only with women and if the sport each othr against whom,certainly it will be men you r spliting men and women.@MaryamNSharif @sheikhsafina @SakiaMMSS",2 2,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    2
  
  
    
      
      
      Liked
    
      
    2",/MianHar22261255/status/991184254838198272
@justa_peach @justa_peach @justa_peach @justa_peach @justa_peach,Aroobˎˊ˗ 73 days♡‏ @justa_peach,19h19 hours ago,,,"When the maid of honor is working over time perfecting the arrangements for your wedding  I love you, you know who you are  pic.twitter.com/hdc1fXN3cb",,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    
  
  
    
      
      
      Liked",/justa_peach/status/991152490086354944
@royalpeep @royalpeep @royalpeep @royalpeep @royalpeep,💔‏ @royalpeep,Apr 30,,,@ALIHAIDERFCMA what will be the name of your first child?,1   4 4,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    4
  
  
    
      
      
      Liked
    
      
    4",/royalpeep/status/991045682470547457
@MallagoriAftab @MallagoriAftab @MallagoriAftab @MallagoriAftab @MallagoriAftab,Aftab Mallagori‏ @MallagoriAftab,Apr 30,"#PashtunLongMarch2Swat,PashtunTahafuzMovement",#PashtunTahafuzMovement,"A single tear of a child, who's father is kidnapped by the deep state, is more valuable than the flags of 200+ countries.  You do not need to teach us morality and respect.
#PashtunLongMarch2Swat
#PashtunTahafuzMovement",1 1,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    1
  
  
    
      
      
      Liked
    
      
    1",/MallagoriAftab/status/990970764739391489
@pgl_larka @pgl_larka @pgl_larka @pgl_larka @pgl_larka,آلو کا پکوڑا  🤤  🍪‏ @pgl_larka,Apr 29,,,I'm totally disaster with women....,2 2,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    2
  
  
    
      
      
      Liked
    
      
    2",/pgl_larka/status/990661363147198470
@tariqmushtaq65 @tariqmushtaq65 @tariqmushtaq65 @tariqmushtaq65 @tariqmushtaq65 @Silk_Lodhi @khsajidmajid,Tariq Mushtaq Ahmad‏ @tariqmushtaq65,Apr 29,,,Children poisoned. Foul mouthing needs be curbed,1 1,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    1
  
  
    
      
      
      Liked
    
      
    1",/tariqmushtaq65/status/990647449160122369
@MianJavedIqba13 @MianJavedIqba13 @MianJavedIqba13 @MianJavedIqba13 @MianJavedIqba13 @ClaraLindblom01,Mian Javed Iqbal‏ @MianJavedIqba13,Apr 29,,,nice women,,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    
  
  
    
      
      
      Liked",/MianJavedIqba13/status/990533696674410497
@RiazToori @RiazToori @RiazToori @RiazToori @RiazToori,Riaz Ali Turi‏Verified account @RiazToori,Apr 28,"#Shia,Quetta,ShiaHazara",#Quetta,"On daily basis #Shia are being killed in target killings in #Quetta; Govt is completely failed & helpless in protecting #ShiaHazara w/o taking any action; men, women & children in 000s migrated, many lost their lives either in deep seas or in deserts during their migration.",1 7 7 8 8,"Retweet
    
      
    7
  
  
    
      
      Retweeted
    
      
    7",,"Like
    
      
    8
  
  
    
      
      
      Liked
    
      
    8",/RiazToori/status/990318802457022466
@RajaPervaizSha1 @RajaPervaizSha1 @RajaPervaizSha1 @RajaPervaizSha1 @RajaPervaizSha1,Raja Pervaiz Shaheen‏ @RajaPervaizSha1,Apr 27,,,"we have a meeting with (chairperson pti gulalai Ayesha gulalai. Pakistan's first women MNA She visited Kashmir to raise a voice against India's bombardment on innocent Kashmiris. That's why I, appreciated her efforts. and invited her to meet our (psp) chairman syed Mustafa kamal. pic.twitter.com/1rGe83LPXF",2 2,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    2
  
  
    
      
      
      Liked
    
      
    2",/RajaPervaizSha1/status/990118284778450944
@RoshanehZafar @RoshanehZafar @RoshanehZafar @RoshanehZafar @RoshanehZafar,Roshaneh Zafar‏ @RoshanehZafar,Apr 27,,,It will take a long time for the pendulum to swing the other way. That doesn't mean we keep quiet about sexual harassment. https://www.dawn.com/news/1361755/safe-workplaces …,2 10 10 27 27,"Retweet
    
      
    10
  
  
    
      
      Retweeted
    
      
    10",,"Like
    
      
    27
  
  
    
      
      
      Liked
    
      
    27",/RoshanehZafar/status/989885001733951488
@lemonfervstart @lemonfervstart @lemonfervstart @lemonfervstart @lemonfervstart,Farwa‏ @lemonfervstart,Apr 27,,,This fever is killing me. I think it’s time for some antibiotic action.,1   4 4,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    4
  
  
    
      
      
      Liked
    
      
    4",/lemonfervstart/status/989846818715561986
@Rahatzadakhan @Rahatzadakhan @Rahatzadakhan @Rahatzadakhan @Rahatzadakhan,Rahat Khan (گمنام)‏ @Rahatzadakhan,Apr 26,"#Pakistan,Nigeria,Punjab",#Nigeria,"Dear @CMShehbaz  shame on you 
#Pakistan stands second in the world ranking of out-of-school children with only #Nigeria ahead of it, while #Punjab is on the top among the provinces in this regard. pic.twitter.com/0oRYkW2381",1 1,"Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",,"Like
    
      
    
  
  
    
      
      
      Liked",/Rahatzadakhan/status/989734520776609792
@fr_bilal @fr_bilal @fr_bilal @fr_bilal @fr_bilal,Muhammad Bilal Awan‏ @fr_bilal,Apr 26,#StayStrongKhawajaAsif,,It's a target killing ! Short story  #StayStrongKhawajaAsif,1 1 1 1,"Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",,"Like
    
      
    1
  
  
    
      
      
      Liked
    
      
    1",/fr_bilal/status/989448418283196417
@v_anthony207 @v_anthony207 @v_anthony207 @v_anthony207 @v_anthony207,VernonAnthonyManuel‏ @v_anthony207,Apr 25,,,"Madeeha Gauhar, Ajoka Theatre’s founder, actress, scriptwriter, director of social theatre, and women’s rights activist passed away at the age of 62 due to cancer.
She promoted tolerance, acceptance and social justice through theatre. May she rest in peace. We miss you! pic.twitter.com/3ezFC8TICr",2 2,"Retweet
    
      
    
  
  
    
      
      Retweeted",,"Like
    
      
    2
  
  
    
      
      
      Liked
    
      
    2",/v_anthony207/status/989328183936811008
