,head,topic_rep,0.57: Pak-Afghan-US-relations
2051,"Extremists returning home pose ‘enormous challenge’, UN told",0.787167847,
775,NAB open to public once a month to file complaints in person: chairman,0.7825526,
1814,"US warns of 'damage to bilateral ties, Pakistan’s reputation' over Hafiz Saeed's release",0.774507403,
2034,"Mumbai attacks case: FO spokesperson, foreign secretary appear before ATC",0.767872989,
2074,Implementation of NAP in Balochistan reviewed,0.744454384,
1940,PM assures Riyadh of support in peace efforts,0.742911756,
1782,India slams release of Hafiz Saeed,0.742727935,
505,Bad blood,0.736146808,
688,"Pakistan, Iran keen to rebuild relationship, says NA body chief",0.735246599,
462,Gen Bajwa meets Iran's president to discuss regional security issues,0.735164762,
1893,"8,628 policemen to provide security to Chup Tazia processions today",0.729265809,
548,"US still hopes to work with Pakistan, says Alice Wells",0.726354003,
1817,Protesters attack Law Minister Zahid Hamid's residence in Sialkot,0.720302224,
180,"Girl born in Indian prison arrives in Pakistan with mother, aunt",0.72023344,
1762,At least 235 killed in attack on Egypt mosque during Friday prayers: state media,0.720218301,
842,SC decision to revisit Hudaibya Paper Mills case unjustified: PML-N,0.715529859,
50,"Decision to put Shahbaz forward as PM candidate a 'political' one, says Khursheed Shah",0.712926984,
1960,Taiwanese activist jailed for five years in China for attempting to subvert state power,0.710985005,
2106,ECP notice on Article 202 of Election Act 2017 suspended for four petitioning parties by IHC,0.706789255,
104,SECP set to freeze shareholdings of Sharif’s sons,0.70561713,
492,"Iran agrees to enhance security cooperation, intelligence sharing with Pakistan",0.700722635,
196,"2 Indian soldiers, 'militant' killed in IHK gun battle",0.700619578,
515,US says no group will be allowed to attack Pakistan from Afghan soil: Janjua,0.698970318,
405,National security advisor discusses Pak-Afghan relations with British high commissioner,0.696253181,
25,Shahbaz Sharif chosen as PM candidate in London meeting,0.695257723,
1854,Four militants killed in CTD encounter in Faislabad,0.691019237,
209,Capt Safdar's release on bail challenged by NAB,0.690257609,
291,29 terrorism-related cases cleared to be sent to military courts: Ahsan Iqbal,0.689342022,
1107,FO summons Indian DHC over ceasefire violations,0.686699092,
1803,"PM, army chief to visit Saudi Arabia next week",0.686291158,
1238,"TTP has foothold in Afghanistan, says Abdullah",0.683121085,
1694,Pakistan concerned as Bangladesh hands six JI leaders death penalty,0.680927634,
682,Maulana Tariq Jamil visits Nawaz,0.674092174,
1272,Two killed in 'unprovoked' Indian shelling in AJK: officials,0.671575487,
1472,"Pakistan, China reaffirm support for each other: Foreign Office",0.668397486,
686,Balochistan's law and order situation reviewed,0.657767355,
437,Three suspected IS militants arrested,0.652846813,
1201,Verna is cleared for screening in the UK with no cuts,0.651815653,
1315,"As a woman, as an artist, I feel hurt and angry: Deepika on Padmavati controversy",0.644679725,
1410,End this misery,0.644384444,
717,"PM Abbasi, COAS visit LoC",0.64111805,
679,Court moved against Maryam for anti-judges remarks,0.63891691,
396,Pakistan welcomes US mediation in easing tension with India: Khawaja Asif,0.638474822,
1300,Local laws apply to convict transferred to Pakistan: SC,0.637317777,
1684,Bajwa says army will support civil govt's initiatives in Balochistan,0.632219553,
1619,Hafiz Saeed set to be freed after LHC turns down extension in detention order,0.631886542,
1562,Alliance with PTI on all seats across country: JUI-S,0.628421545,
626,"SBP to get shares of agri bank, HBFC",0.624595344,
1354,Maryam rejects rumours 72 MNAs are poised to defect,0.621977866,
1709,Nawazuddin Siddiqui may play the villain of Hrithik's Krrish 4,0.61600095,
1738,Govt delaying renewal of Musharraf’s diplomatic passport,0.612568736,
1229,"Pakistan, US trade blame over cross-border terrorism",0.610504329,
250,Fears of election delay as National Assembly defers bill seeking delimitation,0.609326839,
1312,"LoC violations 'highly unprofessional and unethical', DGMO tells Indian counterpart",0.603078067,
1740,India wants envoy to accompany spy Jadhav’s wife,0.602764845,
783,Ex-Trump aide Flynn probed over secret Turkey dealings: reports,0.593043923,
1392,Fixing Afghanistan,0.592824936,
1314,"'Conspirators' will gain nothing but defeat, says Maryam Nawaz",0.588483214,
461,Pakistan determined to expand ties with Iran: Bajwa,0.579133868,
1427,"PTI, JUI-S agree to prepare ‘joint strategy’ for elections",0.578465521,
1146,Terrorism index places Pakistan at fifth spot,0.577019095,
616,Afghan govt orders probe into Pakistani official’s murder,0.576349914,
1908,"PM Abbasi, army chief meet Saudi king to discuss bilateral ties",0.572579026,
329,Shahbaz returns to Lahore after a week-long visit to London,0.572487712,
193,Cellular firm fined for blocking SIM,0.570993125,
768,Pakistan offers spy Kulbhushan Jadhav’s meeting with wife,0.569051206,
399,Detained Saudi Prince Waleed's firm seeks to reassure investors,0.568497777,
1466,"PML-N paid 'political bribes' to ministers, is guilty of pre-poll rigging, says PTI",0.565839231,
40,Foreign policy comes under fire in Senate,0.565520287,
1445,Pentagon persuades Congress to delink LeT from Haqqani network,0.564987123,
466,"US, Pakistan yet to overcome trust deficit: Khawaja Asif",0.562943339,
10,Bahrain jails 10 Shias for life over attacks plot,0.562736928,
1151,SC review verdict was ‘message’ for NAB court: Sharif,0.560759187,
1266,The long wait for breakup,0.556507707,
1316,India wants Kulbhushan's mother to accompany wife for proposed meeting with spy,0.553872347,
459,3 IS-linked militants arrested from Karachi's outskirts: SSP Malir,0.552527964,
245,8 Iran soldiers killed in clashes with 'terrorists',0.550265074,
685,PFUJ urges govt to take steps for journalists’ safety in Balochistan,0.546163321,
430,Imran challenges Election Reforms Act 2017 in SC for being against Constitution,0.543877602,
1459,Hasan Ali stuns Dhaka Dynamites with a five-for in Bangladesh Premier League,0.540197015,
103,Maryam Nawaz says has right to offer ‘opinion’,0.537276804,
615,"PTI, PPP lash out at strongly worded PML-N reaction to SC verdict",0.537261903,
773,PML-N leaders discuss mass contact drive,0.535899818,
1155,NAB set to proceed against Dar in Hudaibya case,0.5353567,
486,It's official: Zeb Bangash ties the knot!,0.533249319,
1557,Most Indians unhappy with Modi’s handling of Pakistan: survey,0.532547891,
564,Govt moves to cut down security provided to Panama JIT members,0.532297492,
162,IS graffiti found on State Bank wall in Rawalpindi,0.532114744,
1860,Saudi-led coalition to assist member countries in counter-terrorism operations: Gen Raheel,0.532080054,
945,ECP reserves verdict on petition challenging PTI's intra-party elections,0.531411946,
1015,Elderly woman killed in Indian troops' firing across LoC,0.530899763,
1597,State organs should let each other work: Hashmi,0.528137267,
909,Parties differ on reasons behind MMA’s revival,0.52783215,
1184,"Pakistan awaits Indian response on dialogue on Kashmir, other disputed territories: FO",0.525530875,
1744,Pakistan warns of RAW’s nexus with terrorist groups in Afghanistan,0.523994386,
42,The London plan,0.521919727,
570,Musharraf quick to welcome newly formed MQM-PSP alliance,0.521060228,
1982,‘JIT head is NAB’s only material witness’ in Sharif references,0.516390145,
1702,Backlash in India after minister says cancer is 'divine justice',0.514475226,
1393,Online exhibit shows hidden depths of Picasso’s ‘Guernica’,0.50788486,
491,Will not evade so-called accountability: Sharif,0.507023215,
990,Justice Khosa withdraws from Hudaibya appeal hearing,0.506726444,
436,Curfew imposed in border areas of Mohmand,0.505964041,
424,An inevitable crisis,0.505164683,
525,PML-N wants elections on time: Nisar,0.50442791,
522,Maryam reacts to Panama Papers judgment with guns blazing,0.502795398,
1764,Saudi-led coalition: Defence minister asked not to make commitments without notifying Senate,0.502696157,
264,CJP seeks report on man's allegation of Lahore 'faith healer' brainwashing son,0.499444783,
1992,The long road to recovery,0.497297943,
994,"Early polls, minus-Sharif formula not acceptable to PML-N",0.49713403,
1382,6 Afghan policemen killed in Taliban attack,0.494752914,
335,Six killed as Al Qaeda suspects hit Yemen security in twin suicide attacks,0.493716866,
107,Judges advised not to create a liability by interpretative techniques,0.490943402,
894,Getting rid of Sharifs won’t solve problems: Hashmi,0.49021098,
684,"US wants to work with Pakistan, India to reduce nuclear threat",0.489427567,
1994,Nawaz Sharif ‘unhappy’ with handling of Faizabad sit-in,0.488716364,
1409,SMOKERS’ CORNER: ALLIANCES AND ILLUSIONS,0.488097727,
724,Pakistan offers to allow spy Kulbhushan Jadhav a visit from his wife,0.487214893,
1196,CJP rejects Nawaz Sharif's appeal for clubbing of corruption references,0.482083827,
1895,"Mugabe cried when he agreed to step down, says paper",0.478311568,
597,Louvre Abu Dhabi opens after 10 years in the making,0.478198826,
1232,NAB wants Dar’s name placed on ECL,0.477848649,
1397,NAB to launch probe into 56 public sector firms’ affairs,0.475487441,
1436,Why the relationship between Pakistan and America is so confusing,0.474375993,
1283,Saeed’s plea against detention deferred,0.473567694,
23,CPEC will be truly successful when it lifts Balochistan to its rightful place: Gen Bajwa,0.471770704,
1598,China reiterates support for Pakistan in execution of CPEC,0.471174657,
646,US envoy discusses regional security with army chief,0.469975144,
1757,NED alumnus sells company to chip-maker Marvell for $6bn,0.46963048,
1395,"Mattis, Dunford to visit Pakistan soon",0.468157917,
1092,Election Commission replaces 86 officers in major reshuffle,0.466858923,
346,Artificialness,0.464050353,
32,Army chief to visit Tehran  this week,0.463818461,
207,Dr Qibla Ayaz appointed new chairman of Council of Islamic Ideology,0.461457133,
774,Nato backs US efforts to persuade Pakistan against terrorism: Mattis,0.45682919,
1110,Maryam continues with her ‘anti-judiciary refrain’,0.451335073,
1381,"'Nawaz Sharif is an ideology,' says PML-N chief at Abbottabad election campaign rally",0.450014144,
568,PML-N questions Supreme Court's 'capacity to judge' in response to detailed judgement,0.449490279,
1998,PTI wants probe into changes in oath,0.446325392,
1939,"Sharif postpones next week’s rallies in Balochistan, Punjab",0.444676608,
1301,Key suspect in Sehwan suicide blast arrested,0.444576859,
1517,Govt enlists help of religious scholars to end Islamabad sit-in,0.444169492,
275,Nisar urges political forces to work together for country's stability,0.443681598,
1647,Photojournalists attacked by Faizabad protesters,0.443388641,
1154,National Security Committee decides to benefit from available energy import options,0.440577537,
268,"Indian govt told to investigate 2,080 unmarked mass graves in held Kashmir",0.440482855,
55,"India to release 13 Pakistani prisoners including women, child",0.440377742,
1642,Shahbaz seeks verdict in damages suit against Imran,0.439545661,
1522,Absence of senators continues to delay delimitation bill passage,0.437645227,
1844,Gunmen in Egypt attack ‘carried IS flag’; death toll rises to 305,0.436419189,
246,Nawaz Sharif denies deal with establishment for his return,0.430732608,
2056,Trade activities picking up at Torkham border,0.42924118,
1357,India ‘positively’ responds to Pakistan’s offer about Jadhav,0.428203732,
1731,Being a journalist 'behind enemy lines',0.42754218,
696,India reiterates conditions for talks with Pakistan,0.427357048,
560,"Haj, Umrah pilgrims move Supreme Court against new bio-metric verification procedure",0.425512016,
1736,Zardari rebuffs Nawaz Sharif’s offer for handshake,0.424204677,
467,Mumbai attacks hurt Kashmir cause: ex-Pakistan foreign secretary,0.423239619,
33,"Maryam led PML-N when Shahbaz, Nisar were poised to take over: Aitzaz",0.422579169,
1954,Sharif vows to continue 'struggle for democracy',0.418190271,
1925,Accountability court adjourns hearing as Nawaz seeks suspension of proceedings,0.416017354,
375,"Army chief in Tehran, to meet Khamenei",0.415218711,
123,Top military brass review geo-strategic security environment in Corps Commanders Conference,0.415123761,
1276,Key suspect in Lal Shahbaz Qalandar shrine attack arrested,0.411657393,
743,Empty words?,0.410448283,
1423,Pak-US ties: a complicated path,0.410221368,
985,"Establishment has not supported any particular political party, clarifies DG Rangers Sindh",0.405964583,
1692,A win for ex-PM,0.404814929,
400,IHC seeks copy of accountabilty court's order to release Capt Safdar on bail,0.403701276,
1549,"3 suspected militants, Indian commando killed during gun fights in held Kashmir",0.402430296,
689,Siraj raps Nawaz for remarks on SC verdict,0.402178347,
218,A prolonged role for Maryam,0.400098562,
169,Sharif family's accountability hearing adjourned until Nov 7,0.399922162,
175,Ousted PM gets VIP protocol on arrival in Islamabad,0.397267759,
1663,Army to abide by govt decision on sit-in: ISPR,0.397053212,
1831,People speak,0.396986395,
277,Ahsan Iqbal dismisses any possibility of martial law,0.395284981,
1789,Emmerson Mnangagwa sworn in as new president of Zimbabwe,0.393588871,
176,"Security bodies role to continue in national interest, say commanders",0.39172101,
1269,"FIA arrests three suspects from Sialkot, Gujranwala",0.386605769,
438,"Mobile firms start sharing customer data with FBR, Senate body told",0.385118484,
172,"Spanish judge jails Catalan ministers, mulls leader’s arrest",0.384814888,
1851,PML-N top brass mulls Hamid’s resignation,0.382402629,
1586,"'Mockery of justice should be stopped': Nawaz, Maryam appear before court in corruption trial",0.38240245,
411,"Shujaat, Pervaiz Elahi appear before NAB to record statements in corruption reference",0.38219732,
1239,UNHCR expects ‘modest’ return of Afghan refugees in 2018,0.382077038,
1545,CPEC's next phase to enable technology transfers from China to Pakistan: Ahsan Iqbal,0.381664038,
379,PML-N huddle to deliberate on key issues today,0.380293489,
889,Spanish PM calls for return of ‘democratic and free’ Catalonia,0.378941536,
1660,Sharif paid 163 MNAs money to defeat bill in NA: Imran,0.378927857,
803,"MQM-P leaders, supporters pay respects at 'Martyrs' Monument' in Karachi",0.377839148,
1062,Pakistan bound to rise after meeting challenges: COAS,0.372501165,
950,"Nadra yet to issue cards to 370,000 registered Afghans",0.371599913,
1150,The anguish caused by enforced disappearances,0.370368987,
139,"India returns 13 Pakistani prisoners, including 2 women and girl born in captivity",0.368178189,
1264,Balochistan killings,0.366659224,
204,Relatives of banned outfit leaders released from FC custody: Balochistan home minister,0.366593122,
1063,Fazl rejects establishment’s role in MMA’s revival,0.365512609,
1455,Rehman Malik asks PML-N should avoid policy of confrontation,0.362275332,
1161,Pakistan condemns truce violations by India,0.361174822,
1442,Human smuggling suspect arrested in Quetta,0.360395014,
1043,"'RAW running $500 million cell to sabotage CPEC,' says Gen Zubair Hayat",0.360203117,
349,"Policy soon to resolve party rifts, Sharif tells aides",0.359922111,
20,Pir Kaleem elected president as Asma Jahangir's camp sweeps SCBA elections,0.359253943,
1447,"Policy to promote human rights continues, UN group assured",0.358916312,
1760,"Did not conceal receiving AED 50,000 salary from UAE firm: Khawaja Asif's reply to IHC",0.358260602,
526,‘Japan is not against CPEC’,0.35823524,
1529,Renault signs new agreement to assemble cars in Pakistan,0.35820815,
1837,"JI, PTI lambast federal govt for failing to maintain its writ",0.354621261,
1256,Would've been a better player if Coach Arthur had trained me 10 years ago: Sohail Khan,0.353042603,
630,Pakistan rejects suggestions for new UN Security Council seats,0.352460861,
1097,Pakistan returns Afghan soldier who crossed Durand Line,0.35230279,
1374,MQM-P leader Amir Khan indicted for sheltering terrorists at Nine Zero,0.350066066,
1806,"China to get 91pc Gwadar income, minister tells Senate",0.348304719,
34,Three women held for ‘links with banned outfits’ in Chaman,0.34717381,
785,"SC to hear PTI appeals seeking probe into PPP, PML-N funding sources",0.346109599,
771,MQM-P will march to ‘Martyrs’ Monument’ today,0.34605664,
861,"Local ANP leaders hired Taliban militants to assassinate Parveen Rehman, suspect tells JIT",0.345968306,
1490,Rahul Gandhi set to take over as Congress chief,0.345492691,
454,Sindh Assembly rejects PTI call to dissolve assemblies for early elections,0.345249355,
1516,"PML-N, opposition set to spar in National Assembly today over poll law",0.344849706,
1105,"Nawaz vows to continue struggle for 'sanctity of vote, provision of justice'",0.344494909,
1477,Padmavati release has been postponed after Rajput protests,0.342650652,
1244,Pakistani freed by India after 12 years,0.342523217,
255,"Work on Pak-Iran gas pipeline halted due to sanctions, NA told",0.341858357,
85,Jailed Bahrain dissident chief charged with Qatar ‘spying’,0.339804888,
553,Committee shortlists candidates for SECP commissioners,0.339054734,
45,Foreign minister chides America for policy shaped by 'frustrated' generals,0.33720246,
1369,‘Investment treaty to boost Pak-US trade’,0.3367621,
1114,"Zimbabwe army takes control of state broadcaster after night of unrest, says Mugabe in custody",0.334892213,
1304,"NAB moves to put names of Sharif, four relatives on ECL",0.330351979,
1706,Special report: The military strikes back 1999-2008,0.325605601,
622,Success eludes NA panel probing $8bn investment by Pakistanis in UAE real estate,0.324319273,
1929,Govt held responsible for mishandling Faizabad operation,0.323381752,
942,SC wants allegations against missing persons given 'in black and white',0.322791845,
1635,"Security audit of over 1,000 bank branches to be carried out in Karachi",0.322576433,
993,"Federal, KP govts fail to obtain missing persons data",0.321260095,
154,Turkey detains 283 suspected IS militants,0.320357591,
120,"Nawaz Sharif returns to Pakistan, to appear before accountability court tomorrow",0.319811314,
1596,Rejection of opposition bill irks Imran Khan,0.319683552,
1047,Nawaz again challenges accountability court decision to hear corruption references separately,0.318304837,
1160,Legal assistance to Pakistanis detained abroad sought from SC,0.317121029,
503,"Indian man jailed 27 years for funding Al Qaeda, plotting to kill US judge",0.3166776,
1519,President’s powers linked to PM’s advice: Attorney general,0.316609591,
1653,A week of desperation: inside Mugabe’s fight to stay in power,0.316326857,
2037,Qatari royal inaugurates power plant in Karachi after separate meetings with Sharifs in Lahore,0.311925203,
1595,"NFC award has to be finalised within five years, Senate chairman rules",0.311615974,
200,"TTP facilitator apprehended, large caches of weapon seized in Balochistan: ISPR",0.311551392,
1404,Sami links MMA’s revival to support for Fata-KP merger,0.310905457,
54,"Farooq Sattar decries victimisation of MQM, rejects money laundering allegations",0.310690254,
1163,Return filing date extended to Nov 30,0.306994081,
102,Khawaja Asif says his ministry not in control of foreign policy,0.306494176,
828,Pence helps give Vietnam Veterans Memorial a holiday washing,0.305267096,
1826,Spineless in Isloo,0.30305782,
614,Living Colours: ‘There is a new political equilibrium in Pakistan that is not very stable’,0.302873224,
995,"KP CM Khattak, ex-ISI officer meet Maulana Sami",0.299481094,
12,Fake news explosion in India,0.29945305,
1474,Arab League chief says Lebanon should be 'spared',0.299130738,
92,"Shujaat, Pervaiz may visit NAB’s Lahore office on Nov 6",0.298436016,
1723,Suicide attack kills eight in Afghanistan,0.296483278,
1113,NAB presents two witnesses in Sharif family's corruption references as trial formally begins,0.294774413,
915,52 senators to retire in March,0.29458949,
858,23 Indian fishermen arrested for fishing illegally in Pakistan's waters,0.294226766,
1682,At least eight killed in suicide attack in Afghanistan's Nangarhar province,0.290876597,
129,Pakistan registers protest against Bangladesh's 'undiplomatic language',0.290725559,
1069,The capital under siege,0.289115906,
2060,Skewed priorities,0.288720042,
1117,‘Peace committee’ slaps Taliban-style curbs on Wana,0.286868781,
1658,Captain Safdar's brave warning,0.286310315,
841,Mustafa Kamal spills beans on establishment role in alliance with MQM-P,0.285611987,
1819,"Islamabad protesters 'contacted India', claims Interior Minister Ahsan Iqbal",0.28506273,
1754,Misuse of faith,0.283003569,
1697,Mercy plea to the president,0.2806032,
713,SECP ex-chairman Hijazi's acquittal plea dismissed in Chaudhry Sugar Mills record tampering case,0.279457808,
735,State’s failure in Quetta,0.279201299,
1168,Imran Khan’s statement in four cases to police deemed ‘inadmissible’,0.278852075,
1473,Islamabad protesters given more time by govt to reconsider protest,0.278544903,
956,MQM's Ali Raza Abidi announces resignation from National Assembly,0.276525021,
199,British High Commissioner summoned over 'malicious' anti-Pakistan slogans on London cabs,0.272283524,
46,Two policemen martyred in attack on patrolling party in Charsadda,0.272086084,
1227,Probe report on Buleda killings to be shared with public: Iqbal,0.271894604,
1661,"Disagreements, but no forward bloc in PML-N",0.270878077,
1173,NA passes Elections (Amendment) Bill 2017 to 'strengthen' Khatm-i-Nabuwwat clauses,0.269321978,
1470,Hezbollah says ready to pull forces from Iraq after Islamic State defeat,0.269204497,
164,FO summons envoy over Dhaka’s offensive protest note,0.268788964,
573,Interior minister grilled over NIC issued to slain Taliban leader,0.267000109,
392,"Shujaat, Pervaiz to appear before NAB today",0.266368747,
1927,"‘10,000 Chinese working on non-CPEC projects in Pakistan’",0.26539579,
473,India seeks early start of Chabahar port operations,0.26432988,
897,View from the courtroom: UN working group set to review country’s progress on human rights,0.264104992,
1191,Taliban resurgence?,0.260705918,
1257,PTI may expel lawmaker who accused Ali Ameen Gandapur of patronising teenage girl's abusers,0.26069811,
1963,Teenager found guilty of plotting terror attack at a Justin Bieber concert,0.260511965,
1217,Cambodia’s main opposition party dissolved by court,0.259417862,
973,Sindh IG orders inquiry into alleged police torture,0.258207262,
1751,"Cabinet approves appointments,  MoUs",0.258047611,
1947,Teacher allegedly terminated for being Ahmadi approaches high court,0.257470548,
1720,"Mugabe granted immunity, assured of safety in Zimbabwe",0.257317275,
1440,Imran terms Abbasi ‘puppet PM’,0.255266905,
221,Iran denounces CIA 'fake news' in declassified Bin Laden files,0.25473243,
1737,NAB team heading to UK for probe into Sharifs’ property,0.254705012,
1858,Anti-PPP alliance claims it will form government in Sindh after next elections,0.250541657,
1956,Hudaibiya Paper Mills reference hearing adjourned due to NAB prosecutor's lack of preparation,0.248821676,
1175,NAB asks interior ministry to put Ishaq Dar's name on ECL,0.246358827,
29,"US to give Pakistan chance to strike terrorist targets, says Tillerson",0.245711878,
1236,Sharif promises to raise Murree’s issues with PM,0.245286778,
1012,Taliban attacks kill dozen of security officers in Afghanistan,0.244127557,
530,Axed Catalan leader urges separatist unity,0.244090036,
13,"Relocation of convicted, undertrial prisoners stalls trials in Karachi",0.242295891,
1599,PML-N defeats Nawaz-specific amendment to election law,0.24199073,
827,FPCCI seeks economic agenda of political parties,0.241781428,
948,Musharraf’s ‘alliance’,0.240969837,
316,"No need to make inquiry report on news leak public: Nisar
",0.24092038,
911,Chinese firm all but stops work on power transmission line,0.240179971,
654,SC accepts petition seeking suspension of police officers' bail in Benazir murder case,0.240075782,
179,"UK, UAE approached for evidence against Altaf",0.238893822,
254,"President, PM condole with Quaid’s grandson over Dina Wadia's demise",0.238832682,
1302,US troops told to ignore child abuse in Afghanistan,0.238574967,
156,PML-N stops workers from receiving Nawaz Sharif at airport,0.238476679,
584,"Court indicts Nawaz in 3 separate corruption references, rejects plea for clubbing NAB cases",0.237671837,
625,Akhtar sees 1.4m people filing tax returns this year,0.236685604,
830,Breakaway Somaliland to elect new president,0.236615717,
997,US urges Pakistan to repeal blasphemy laws,0.235371456,
1905,Indian Army official arrested with heroin worth Rs400m in India-held Kashmir,0.234539002,
1515,More of the same: Javed Iqbal,0.234448865,
813,Trump allows US troops to join Afghan raids on Taliban targets,0.233681723,
558,Adnan Siddiqui's next is a period drama inspired by an Amrita Pritam novel,0.232688904,
327,Imran asks people of Sindh to boycott corrupt 'elements',0.23106575,
603,Chinese doctors to perform 500 eye surgeries for free,0.230360717,
1846,BCCI aim for Pakistan snub at ICC moot,0.23028101,
417,China's military ordered to pledge total loyalty to President Xi Jinping,0.228872284,
720,"Pakistan Rangers, India's BSF agree to 'revive spirit of 2003 ceasefire agreement': ISPR",0.228220403,
1033,Transit trade,0.227830529,
1290,NAB seeks details of PML-Q leaders’ assets,0.227752313,
1609,Syria opposition meets in Riyadh under pressure to compromise,0.22692588,
1245,Senate standing committee condemns terrorism in Balochistan,0.226462081,
1827,Peace in Kashmir,0.225951701,
1456,Sharif strikes defiant note in Abbottabad,0.225782201,
533,Minister joins opposition in criticising financial institutions,0.223960534,
1228,Sharif’s plea against NAB references rejected,0.223692805,
807,Establishment brokered MQM-PSP alliance meet at Sattar's request: Mustafa Kamal,0.223406821,
1882,Khyber journalist remains in custody of forces for third day,0.223117694,
1914,"Hezbollah, on the rise in Lebanon, fends off Saudi Arabia",0.222052112,
413,Protests in Muzaffarabad against India-appointed interlocutor's visit to held Kashmir,0.221692234,
1859,Life remains paralysed as sit-ins continue across country in solidarity with Faizabad protesters,0.221503019,
1679,IHC reserves judgement on Nawaz's application to club accountability references,0.220235646,
1996,Threat of delayed general elections looms large,0.219664797,
982,French politicians would not be allowed to visit jailed Palestinian leader in Israel,0.2195611,
668,Life of the party: How Altaf Hussain maintains support in Karachi,0.218579009,
1820,COAS asks PM Abbasi to tackle Islamabad protest 'peacefully',0.218493611,
736,CTD official summoned with record of 2014 school attack case,0.218067393,
1563,Prosecutor seeks probe of rights abuses by US personnel in Afghanistan,0.217881858,
1195,Be forewarned,0.217641488,
670,AIG Hamid Shakeel among 3 martyred in Quetta blast,0.215740174,
1162,Lawyers assure Sharif of support for struggle,0.215640903,
247,"PM Abbasi, PPP leaders share flight to London",0.215459406,
1014,Unloved vultures fight for survival in Pakistan,0.215062886,
1734,PML-N to seek explanation from MNAs skipping ‘vital’ NA session,0.2148716,
838,Australia PM in minority after second deputy quits in citizenship row,0.214281246,
453,"Nawaz's counsel argues in favour of clubbing corruption references, court reserves judgement",0.213429496,
418,"KSA freezes accounts of detained suspects, 'corruption' money to be reimbursed to treasury",0.210676581,
765,Hussain and Hassan Nawaz’s deadline to surrender ends,0.210437566,
1513,Taming politics,0.210422784,
1544,"Intelligence Bureau, TV anchor stick to their guns on alleged monitoring of lawmakers",0.209458873,
36,Outgoing SCBA secretary challenges Elections Act,0.208872527,
976,Panama accountability: Siraj wants early hearing of party petition,0.207800299,
1775,AIG martyred in suicide blast targeting Peshawar police,0.207687557,
659,Keeping out of ME quagmire,0.207590207,
